tempo;420s;temperatura;47.00°C
tempo;421s;temperatura;47.00°C
tempo;422s;temperatura;46.75°C
tempo;423s;temperatura;46.50°C
tempo;424s;temperatura;47.00°C
tempo;425s;temperatura;47.00°C
tempo;426s;temperatura;47.00°C
tempo;427s;temperatura;46.75°C
tempo;428s;temperatura;46.75°C
tempo;429s;temperatura;47.25°C
tempo;430s;temperatura;47.00°C
tempo;431s;temperatura;47.25°C
tempo;432s;temperatura;47.00°C
tempo;433s;temperatura;47.75°C
tempo;434s;temperatura;47.25°C
tempo;435s;temperatura;46.75°C
tempo;436s;temperatura;47.50°C
tempo;437s;temperatura;47.50°C
tempo;438s;temperatura;47.75°C
tempo;439s;temperatura;47.75°C
tempo;440s;temperatura;47.75°C
tempo;441s;temperatura;48.25°C
tempo;442s;temperatura;48.25°C
tempo;443s;temperatura;47.75°C
tempo;444s;temperatura;48.25°C
tempo;445s;temperatura;48.50°C
tempo;446s;temperatura;47.75°C
tempo;447s;temperatura;48.25°C
tempo;448s;temperatura;48.25°C
tempo;449s;temperatura;48.75°C
tempo;450s;temperatura;48.25°C
tempo;451s;temperatura;48.50°C
tempo;452s;temperatura;48.75°C
tempo;453s;temperatura;49.00°C
tempo;454s;temperatura;48.75°C
tempo;455s;temperatura;48.25°C
tempo;456s;temperatura;48.75°C
tempo;457s;temperatura;49.00°C
tempo;458s;temperatura;49.00°C
tempo;459s;temperatura;49.00°C
tempo;460s;temperatura;49.25°C
tempo;461s;temperatura;49.50°C
tempo;462s;temperatura;49.50°C
tempo;463s;temperatura;49.00°C
tempo;464s;temperatura;49.50°C
tempo;465s;temperatura;49.00°C
tempo;466s;temperatura;49.75°C
tempo;467s;temperatura;49.50°C
tempo;468s;temperatura;49.25°C
tempo;469s;temperatura;49.50°C
tempo;470s;temperatura;49.75°C
tempo;471s;temperatura;49.75°C
tempo;472s;temperatura;49.75°C
tempo;473s;temperatura;50.25°C
tempo;474s;temperatura;50.25°C
tempo;475s;temperatura;50.50°C
tempo;476s;temperatura;50.25°C
tempo;477s;temperatura;50.50°C
tempo;478s;temperatura;49.50°C
tempo;479s;temperatura;50.50°C
tempo;480s;temperatura;50.25°C
tempo;481s;temperatura;50.50°C
tempo;482s;temperatura;50.50°C
tempo;483s;temperatura;50.75°C
tempo;484s;temperatura;50.25°C
tempo;485s;temperatura;50.75°C
tempo;486s;temperatura;51.00°C
tempo;487s;temperatura;50.75°C
tempo;488s;temperatura;51.00°C
tempo;489s;temperatura;51.25°C
tempo;490s;temperatura;51.25°C
tempo;491s;temperatura;50.75°C
tempo;492s;temperatura;51.50°C
tempo;493s;temperatura;50.75°C
tempo;494s;temperatura;50.75°C
tempo;495s;temperatura;51.50°C
tempo;496s;temperatura;51.25°C
tempo;497s;temperatura;51.75°C
tempo;498s;temperatura;51.75°C
tempo;499s;temperatura;51.75°C
tempo;500s;temperatura;52.00°C
tempo;501s;temperatura;52.00°C
tempo;502s;temperatura;52.00°C
tempo;503s;temperatura;52.00°C
tempo;504s;temperatura;52.25°C
tempo;505s;temperatura;52.25°C
tempo;506s;temperatura;52.50°C
tempo;507s;temperatura;52.50°C
tempo;508s;temperatura;52.25°C
tempo;509s;temperatura;52.75°C
tempo;510s;temperatura;52.75°C
tempo;511s;temperatura;52.25°C
tempo;512s;temperatura;52.75°C
tempo;513s;temperatura;52.75°C
tempo;514s;temperatura;52.75°C
tempo;515s;temperatura;53.00°C
tempo;516s;temperatura;53.00°C
